id,video,homography_matrix,upleft_x,upright_x,downright_x,downleft_x,upleft_y,upright_y,downright_y,downleft_y,db
11,CHOU_Tien_Chen_CHEAM_June_Wei_Chinese_Taipei_Open_2019_Quarter_finals,"[[0.9487774751422585, 0.29097975948553434, -524.1682392728092], [-0.004069613799641167, 3.1952734941474588, -576.2370199549247], [1.9524909319508642e-05, 0.0013611901356749493, 1.0]]",513.0,940.4,1009.0,398.6,244.0,245.0,672.0,666.2,0
12,CHOU_Tien_Chen_Shesar_Hiren_RHUSTAVITO_Chinese_Taipei_Open_2019_Semi_finals,"[[1.3079315865625754, 0.38252358404626396, -629.3802667831218], [-0.018885209073690946, 4.407616111323584, -1007.9891447392114], [-5.832861330779888e-07, 0.0018768939014568104, 1.0]]",427.8,779.0,840.0,338.2,282.6,284.2,635.0,631.8,0
13,CHOU_Tien_Chen_HEO_Kwang_Hee_Chinese_Taipei_Open_2019_Finals,"[[2.4590047406380684, 1.4372446023435463, -1409.9210248562372], [0.015123695329792297, 10.897000201964968, -2092.345527006776], [2.709671484091092e-05, 0.008025806739206269, 1.0]]",467.6,818.2,1024.4,251.4,230.8,230.4,661.8,660.6,0
14,Carolina_MARIN_TAI_Tzu_Ying_VICTOR_China_Open_2019_Finals,"[[1.5484386702754593, 0.7423532719816041, -601.4514971799233], [-0.12223350114078924, 9.825847854518104, -3236.802818836895], [-0.00012427825515906948, 0.005021234063964244, 1.0]]",254.2,797.2,978.6,124.2,376.2,382.4,706.4,703.2,0
17,CHOU_Tien_Chen_Tommy_SUGIARTO_Badminton_Asia_Championships_2019_Quarter_finals,,,,,,,,,,0
18,SHI_Yuqi_CHOU_Tien_Chen_Badminton_Asia_Championships_2019_Semi_finals,"[[1.6430343166045278, -1.2991837321878927, 161.25875720050377], [0.4990337596824476, 9.535636679864608, -3535.7221140543124], [-0.00016372670904275723, 0.0049924233325275265, 1.0]]",266.2,742.8,1218.2,547.0,403.6,375.2,651.2,728.4,0
19,Anthony_Sinisuka_GINTING_CHOU_Tien_Chen_Singapore_Open_2019_Semi_finals,"[[0.9624842003010002, 0.39832356552219644, -480.21183870931253], [-0.10733131019098387, 4.669084751235434, -1335.5619324587624], [1.5000589083811608e-05, 0.0019166236694954885, 1.0]]",398.0,925.8,1011.4,270.6,349.0,362.2,727.2,698.8,0
20,CHOU_Tien_Chen_Jan_O_JORGENSEN_Singapore_Open_2019_Round_of_16,"[[0.8207788091019392, 0.38741605323761585, -391.2843223911353], [-0.10378022892761932, 4.046311939086597, -1045.7626178278892], [-1.882783820451038e-06, 0.0016610024891272094, 1.0]]",370.2,935.2,1006.6,214.2,325.0,340.4,725.2,695.2,0
21,HUANG_Yu_Xiang_Kento_MOMOTA_Indonesia_Open_2019_Round_of_16,"[[-1.7765396813268213, -1.519948971364808, 1292.3177766460624], [-0.004800449866457131, -11.719097824606665, 4238.864215199914], [-3.2002996710078976e-05, -0.008624274942184356, 1.0]]",425.6,832.6,1077.4,181.0,392.2,392.2,729.2,725.2,0
22,Jonatan_CHRISTIE_CHOU_Tien_Chen_Australian_Open_2019_Semi_finals,"[[0.8189958647807243, 0.7439892429320436, -473.8550219223879], [-0.19751142701956548, 3.602347797064985, -626.3616169528557], [2.8584072009492305e-07, 0.0017536199780071426, 1.0]]",390.6,914.6,819.8,43.0,255.6,286.6,732.6,662.2,0
23,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,"[[1.0606627138451856, 0.3439667138673875, -497.8978610611467], [0.011919581725440269, 4.586662980083068, -1176.8442597836183], [4.8478780487874024e-06, 0.002012572611469505, 1.0]]",407.6,867.0,973.0,307.2,308.6,307.4,669.4,671.2,0
24,Anthony_Sinisuka_GINTING_CHOU_Tien_Chen_Hong_Kong_Open_2019_Quarter_Finals,"[[-2.6184201122122843, -1.751991147414501, 2114.4762115508006], [-0.13169343614914894, -13.188370735647416, 5205.650272429605], [-0.000204223953850489, -0.008370442525988418, 1.0]]",552.2,859.2,963.4,393.4,419.0,416.4,691.0,688.0,0
25,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,"[[3.2257625231927, 1.8272734973122737, -1875.3467940960556], [0.015628122818271688, 18.41136641581973, -5886.457632662832], [0.00010418749255237047, 0.010394454526229408, 1.0]]",415.4,863.4,1018.4,262.8,358.2,358.2,677.2,672.0,0
26,CHEN_Yufei_TAI_Tzu_Ying_Malaysia_Masters_2020_Finals,"[[3.3885200796096075, 2.422540405751102, -2304.6203684311627], [0.030447011803976454, 19.311584855226098, -7396.108675647151], [0.00015160477943315675, 0.009695580960168293, 1.0]]",416.2,879.6,945.4,225.8,422.4,422.2,723.8,718.0,0
28,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,"[[1.4590990108235753, 0.7034097098060653, -761.6703438283957], [-0.012944124346272975, 6.991588273680825, -1675.492902760459], [-8.455318067044705e-06, 0.003973652311934138, 1.0]]",420.6,858.8,1009.0,266.2,286.2,287.0,660.4,659.2,0
29,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,"[[1.9523045866733588, 0.9801671951476165, -1065.7854887959163], [0.006811070912976109, 8.546177245698969, -1833.8532474305387], [-1.0178084275277081e-05, 0.005529519693682916, 1.0]]",448.0,818.2,981.2,278.8,256.6,256.2,646.4,649.0,0
30,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,"[[0.9899690562274399, 0.33017797556835216, -461.21712141353044], [0.015888258759421018, 4.1411882843191865, -982.9223813694236], [5.846625858012096e-06, 0.001811064258044162, 1.0]]",407.4,871.4,970.0,298.6,291.2,289.4,666.4,669.2,0
31,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,"[[1.854722576692273, 0.9086182070270271, -1044.096185325319], [-0.019603678094895813, 8.077877270100064, -1878.798210444892], [-0.00010525837558306067, 0.005228250075690907, 1.0]]",459.0,841.4,1010.4,284.6,278.4,278.6,682.4,694.8,0
32,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,"[[1.7642701851492364, 1.0455606745989166, -963.216543027561], [-0.05505351441862821, 10.125022286691303, -2815.2917916695087], [-3.777998080515185e-05, 0.005855800294804382, 1.0]]",395.4,882.2,1052.6,216.2,322.8,325.4,678.4,674.6,0
33,Kento_MOMOTA_CHOU_Tien_Chen_ASIA_CHAMPIONSHIPS_2018_QuarterFinals,"[[1.2018110489575649, 0.6686391846853192, -582.573953746458], [0.04855076109013207, 6.8259290775900885, -1682.961173142939], [3.8295118801747315e-05, 0.003730304422717908, 1.0]]",367.0,894.0,1060.4,192.4,290.0,286.4,650.4,654.4,0
34,CHOU_Tien_Chen_Anthony_Sinisuka_GINTING_World_Tour_Finals_Group_Stage,"[[0.9839110829427506, 0.6094367289520435, -488.90503604609535], [-0.020521114451607245, 5.136968134749714, -1416.3793879467498], [2.5018451866775666e-05, 0.0023785388112590633, 1.0]]",338.4,889.8,952.4,133.8,329.4,332.2,705.6,695.2,0
35,CHOU_Tien_Chen_Viktor AXELSEN_World_Tour_Finals_Group_Stage,"[[2.839974918221504, 2.141348780112629, -1781.0087377051157], [-0.047651227930037926, 17.288525365510047, -5531.627692818594], [-6.166588808502682e-06, 0.009699541264628894, 1.0]]",395.2,869.6,981.8,185.8,360.0,361.4,676.8,673.2,0
36,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,"[[1.2040328339272803, 0.38913842098046203, -591.9740173762436], [0.011345241565236579, 5.204825094114392, -1424.930957789887], [8.58074420060726e-07, 0.002290539246896153, 1.0]]",423.4,856.8,957.8,328.8,323.0,322.0,664.2,666.2,0
37,Anders_ANTONSEN_CHOU_Tien_Chen_China_Open_2019_QuarterFinal,"[[1.6810175837628263, 0.8448905457973523, -705.98944667008], [-0.07082862047487362, 10.387603949127277, -3526.8751806393366], [-8.744274355716122e-05, 0.0053106363064987045, 1.0]]",271.4,803.2,970.4,132.8,385.0,388.2,712.6,712.6,0
38,CHOU_Tien_Chen_Anders_ANTONSEN_Indonesia_Open_2019_Final,"[[-6.561790756843229, -5.4217970488345815, 4316.420353799589], [0.3975882879981783, -44.050495401712865, 13711.633377128448], [0.0003508703528020465, -0.03207704046641905, 1.0]]",407.6,862.6,1138.4,150.4,349.2,353.2,721.2,715.0,0
39,CHEN_Yufei_TAI_Tzu_Ying_World_Tour_Finals_Finals,"[[1.3902443885702724, 1.039663622256807, -786.8924297728933], [0.022996860984802185, 7.286828212244793, -2258.1314703073326], [4.0897370780623826e-05, 0.003387265989193822, 1.0]]",340.8,823.2,837.6,120.0,354.4,353.2,677.2,675.6,0
40,PUSARLA_V._Sindhu_TAI_Tzu_Ying_World_Championships_2019_Quarter-finals,"[[1.0956492397982218, 0.5558385469508846, -530.4651560218517], [-0.020737192708886375, 5.908641353209354, -1275.0691558985964], [-6.596986713197204e-06, 0.003098891683635449, 1.0]]",392.0,888.2,1033.4,238.6,263.2,265.0,618.2,614.6,0
41,Kento_MOMOTA_WANG_Tzu_Wei_World_Tour_Finals_Semi-finals,"[[3.5246769263994473, 2.670775048968738, -2335.997402986127], [-0.10249700411963522, 21.46202251831811, -7040.701589431075], [-3.436066815202613e-06, 0.012033436097624271, 1.0]]",422.4,885.0,993.4,218.0,368.0,370.4,678.6,672.0,0
42,Khosit_PHETPRADAB_WANG_Tzu_Wei_Denmark_Open_2019_Round-of-32,"[[1.7139068125163368, 0.8186646542141475, -871.8336360801231], [-0.06642799725947351, 8.593513284181759, -2244.7470977837734], [-0.000163666480721909, 0.005430990638562737, 1.0]]",398.8,844.6,1058.4,234.0,310.0,312.4,711.6,724.6,0
43,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,"[[1.5658558271855607, 1.0324645253684355, -841.5885175459309], [-0.020336076693883594, 10.4852732598627, -3050.864479746993], [-2.0438725310065724e-05, 0.005771560273500008, 1.0]]",364.2,921.2,1098.6,176.4,333.4,334.4,665.2,664.6,0
44,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,"[[1.4379354545841778, 0.9495879098465839, -758.5212794200803], [-0.018672080402059525, 9.61982892737162, -2776.0388805518432], [-2.1665779002136506e-05, 0.005301587367572587, 1.0]]",356.0,928.2,1110.4,162.2,332.2,333.2,673.6,673.4,0
45,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,"[[1.3944300837610308, 0.5411842966549574, -713.0539352115721], [0.00321064926040819, 5.743908101223622, -1305.957832261191], [3.963764628032079e-06, 0.003152321871024633, 1.0]]",437.8,840.8,975.2,309.4,276.0,275.8,663.2,663.2,0
46,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,"[[1.368085787227174, 0.556114320683032, -695.2238519266776], [0.01749612531356991, 5.540479748228778, -1130.4012386578734], [1.5268728557748876e-05, 0.0032133156497607786, 1.0]]",439.0,838.2,984.4,297.0,251.8,250.6,658.8,660.0,2
47,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,"[[1.3647446182030267, 0.553590892879246, -688.0504607653859], [0.021713804412901386, 5.545604625137371, -1146.0207772940241], [9.925334783014156e-06, 0.003211582564438141, 1.0]]",434.4,835.0,981.6,292.6,254.2,252.6,659.8,663.0,1
48,Anthony_Sinisuka_GINTING_Viktor_AXELSEN _Indonesia_Masters_2020_SemiFinals,"[[1.3573774937530165, 0.5493366853936436, -687.2053233966463], [0.010895233313556359, 5.472227498997528, -1109.5412959361195], [2.2814240915039717e-05, 0.0031675519947711238, 1.0]]",437.8,839.0,985.6,295.8,251.4,250.8,663.0,661.2,1
49,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,"[[1.2524805724690056, 0.676240777456863, -648.1930676764878], [-0.017395275655939464, 6.850753426024765, -1846.8154671336365], [-3.405556319278332e-05, 0.003683118689150648, 1.0]]",389.0,901.6,1052.2,217.2,317.8,318.8,684.2,686.4,1
50,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,"[[1.2883312360550072, 0.7017251597170866, -668.7103572899414], [-0.0031083772726950916, 7.050332294894834, -1899.5647664737512], [-3.837502703563643e-06, 0.0037963353358841283, 1.0]]",389.4,901.2,1051.8,217.4,316.4,316.6,681.6,681.6,1
51,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,"[[0.7340626748518984, 0.24144446421116011, -275.86666348203414], [-0.006935834344675816, 3.469173910308609, -619.4717049689436], [4.4236475230503407e-07, 0.0015065639543752208, 1.0]]",343.8,899.6,1034.8,233.2,238.0,239.2,639.0,636.4,1
52,Viktor_AXELSEN _SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,"[[2.4969181343812537, 1.3406841968759582, -1458.4432689185978], [-0.11955198568596041, 15.434584818750453, -5418.380003961958], [-0.00011373062485427772, 0.00771980444322972, 1.0]]",413.0,886.6,1018.0,281.6,393.0,396.4,681.4,679.2,1
53,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,"[[1.3096823094858985, 0.7167826993985638, -681.7944811128887], [0.005026624218809596, 7.1963990888782385, -1952.457810524395], [-9.742577109964142e-07, 0.0038860801397920196, 1.0]]",389.4,900.8,1052.4,217.0,317.6,317.2,680.8,682.0,1
54,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,"[[1.3168178857343507, 0.7182195919048435, -683.7761259044105], [0.0074446920941074165, 7.187349546504103, -1951.4744426514612], [1.5183908577812774e-05, 0.003873968100304409, 1.0]]",388.4,899.8,1050.6,216.4,317.8,317.4,683.2,682.2,1
