Frame,Visibility,X,Y,Hit,StartX,StartY,EndX,EndY
10655,1,718,213,False,,,,
10656,0,0,0,False,,,,
10657,0,0,0,False,,,,
10658,0,0,0,False,,,,
10659,0,0,0,False,,,,
10660,0,0,0,False,,,,
10661,0,0,0,False,,,,
10662,0,0,0,False,,,,
10663,0,0,0,False,,,,
10664,0,0,0,False,,,,
10665,0,0,0,False,,,,
10666,0,0,0,False,,,,
10667,0,0,0,False,,,,
10668,0,0,0,False,,,,
10669,0,0,0,False,,,,
10670,0,0,0,False,,,,
10671,0,0,0,False,,,,
10672,0,0,0,False,,,,
10673,0,0,0,False,,,,
10674,1,780,7,False,,,,
10675,1,778,23,False,,,,
10676,1,778,40,False,,,,
10677,1,776,56,False,,,,
10678,1,776,71,False,,,,
10679,1,776,86,True,760.0,266.0,463.0,532.0
10680,0,0,0,False,,,,
10681,1,725,165,False,,,,
10682,1,676,226,False,,,,
10683,1,651,255,False,,,,
10684,1,622,292,False,,,,
10685,1,598,323,False,,,,
10686,1,577,355,False,,,,
10687,1,557,381,False,,,,
10688,1,540,410,False,,,,
10689,1,523,435,False,,,,
10690,1,507,460,False,,,,
10691,1,492,486,False,,,,
10692,1,478,511,False,,,,
10693,1,467,520,False,,,,
10694,1,456,526,False,,,,
10695,1,446,535,False,,,,
10696,1,438,541,False,,,,
10697,1,428,550,False,,,,
10698,1,421,556,False,,,,
10699,1,416,561,False,,,,
10700,1,408,566,False,,,,
10701,1,403,571,False,,,,
10702,1,397,576,False,,,,
10703,1,393,578,False,,,,
10704,1,388,583,False,,,,
10705,1,386,586,False,,,,
10706,1,381,590,False,,,,
10707,1,376,593,False,,,,
10708,1,375,596,False,,,,
